einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;titelgruppe;tgr-text
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0101;Bundespräsident;23201;187;Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen; ;6;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0101;Bundespräsident;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;6;0;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0101;Bundespräsident;52901;011;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen;nein;6;1000;;
01;Bundespräsident und Bundespräsidialamt;A;Zuweisungen und Zuschüsse (ohne Investitionen);0101;Bundespräsident;68101;011;Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.;nein;6;1348;;
01;Bundespräsident und Bundespräsidialamt;A;Zuweisungen und Zuschüsse (ohne Investitionen);0101;Bundespräsident;68401;187;Deutsche Künstlerhilfe;nein;7;2300;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0101;Bundespräsident;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;7;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;42101;011;Bezüge des Bundespräsidenten;ja;7;252;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;42102;011;Aufwandsgeld;ja;7;78;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;45301;011;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;ja;7;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0101;Bundespräsident;54501;011;Konferenzen, Tagungen, Messen und Ausstellungen;ja;8;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;28209;011;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen; ;10;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;10;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;11957;018;Vermischte Einnahmen; ;10;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;23257;018;Beteiligung an den Versorgungslasten des Bundes; ;10;190;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54201;013;Öffentlichkeitsarbeit;nein;10;350;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54709;011;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden;nein;11;0;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;11;0;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43157;018;Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen;nein;11;1260;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43257;018;Versorgungsbezüge;nein;11;3700;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43457;018;Zuführung an die Versorgungsrücklage;nein;11;202;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44357;018;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;nein;11;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44657;018;Beihilfen aufgrund der Beihilfevorschriften;nein;11;1094;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;45357;018;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;nein;12;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63257;018;Erstattungen des Bundes für Versorgungslasten;nein;12;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;42401;011;Zuführung an die Versorgungsrücklage;ja;12;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44101;840;Beihilfen aufgrund der Beihilfevorschriften;ja;12;220;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44301;840;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;ja;12;40;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;45202;223;Unfallversicherung Bund und Bahn;ja;12;6;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52601;011;Gerichts- und ähnliche Kosten;ja;12;20;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52602;011;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;ja;12;100;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54501;011;Konferenzen, Tagungen, Messen und Ausstellungen;ja;12;1700;;
01;Bundespräsident und Bundespräsidialamt;A;;0111;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63403;011;Zuweisungen an den Versorgungsfonds;ja;12;417;;
01;Bundespräsident und Bundespräsidialamt;E;Verwaltungseinnahmen;0112;Bundespräsidialamt;11999;011;Vermischte Einnahmen; ;14;2;;
01;Bundespräsident und Bundespräsidialamt;E;Verwaltungseinnahmen;0112;Bundespräsidialamt;12401;011;Einnahmen aus Vermietung, Verpachtung und Nutzung; ;14;0;;
01;Bundespräsident und Bundespräsidialamt;E;Verwaltungseinnahmen;0112;Bundespräsidialamt;13201;011;Erlöse aus der Veräußerung von beweglichen Sachen; ;14;1;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0112;Bundespräsidialamt;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;14;0;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0112;Bundespräsidialamt;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;14;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;ja;15;8407;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;42202;011;Bezüge und Nebenleistungen der beamteten Hilfskräfte;ja;15;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;42709;011;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;ja;15;582;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;ja;15;7566;;
