einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
04;Bundeskanzlerin und Bundeskanzleramt;A;Sächliche Verwaltungsausgaben;0414;Bundesnachrichtendienst;54101;019;Zuschuss an den Bundesnachrichtendienst;nein;25;1079128;4;1083818;;
04;Bundeskanzlerin und Bundeskanzleramt;A;;0452;Die Beauftragte der Bundesregierung für Kultur und Medien;68412;187;Projektförderung im Rahmen der deutschen Vereinigung und internationaler sowie nationaler Repräsentation, Milderung und Prävention von pandemiebedingten Notlagen;nein;50;1000000;6;0;01;Allgemeine kulturelle Angelegenheiten
05;Auswärtiges Amt;A;Sächliche Verwaltungsausgaben;0512;Bundesministerium;51802;165;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement;nein;73;45813;4;45813;;
09;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);0903;Energie und Nachhaltigkeit;68301;165;Energieforschung;nein;58;594216;4;594216;;
09;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;0904;Chancen der Globalisierung;89602;649;Wasserstoffstrategie Außenwirtschaft - Internationale Kooperation Wasserstoff;nein;79;230000;6;390000;;
09;Bundesministerium für Wirtschaft und Energie;A;Sächliche Verwaltungsausgaben;0910;Sonstige Bewilligungen;52602;011;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;nein;85;8000;8;8000;;
11;Bundesministerium für Arbeit und Soziales;A;;1106;Maßnahmen des Bundes mit Beteiligung Europäischer Fonds (ESF, EGF, EHAP) sowie sonstige internationale Angelegenheiten;68732;253;Verwendung von Zuschüssen der Europäischen Union zu besonderen Maßnahmen;nein;50;0;4;0;03;Internationale Angelegenheiten auf dem Gebiet der Arbeits- und Sozialpolitik
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1202;Bundesschienenwege;83101;742;Erhöhung des Eigenkapitals der Deutschen Bahn AG;nein;32;4049000;4;7125000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1202;Bundesschienenwege;89111;742;Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes;nein;38;5292500;4;4642500;01;Infrastrukturbeitrag des Bundes für die Erhaltung der Schienenwege der Eisenbahnen des Bundes
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Zuweisungen und Zuschüsse (ohne Investitionen);1204;Digitale Infrastruktur;68601;692;Zuschüsse für die Entwicklung und Erprobung neuer, softwaregesteuerter Netztechnologien;nein;-;0;6;0;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1204;Digitale Infrastruktur;89202;692;Investitionen in den Ausbau und Betrieb neuer, softwaregesteuerter Netztechnologien;nein;-;0;6;0;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Zuweisungen und Zuschüsse (ohne Investitionen);1205;Luft- und Raumfahrt;68202;750;Einmalige Beihilfen für Vorhaltekosten an die Betreibergesellschaften der Flughäfen gemäß § 27d Absatz 1 LuftVG in Verbindung mit § 1 FSAAKV, soweit der Bund nicht beteiligt ist;nein;-;200000;8;0;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1210;Sonstige Bewilligungen;68252;742;Reduzierung Trassenpreise im Schienengüterverkehr;nein;92;950000;10;350000;05;Förderung des Schienenverkehrs
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1210;Sonstige Bewilligungen;68253;742;Reduzierung der Trassenpreise im Personenfernverkehr;nein;-;1826000;10;0;05;Förderung des Schienenverkehrs
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1501;Gesetzliche Krankenversicherung;63201;314;Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes;nein;7;4500000;4;2000000;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1501;Gesetzliche Krankenversicherung;63603;290;Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen;nein;7;13485000;4;7650000;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1503;Prävention und Gesundheitsverbände;68403;314;Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus;nein;18;4055800;6;4015800;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1503;Prävention und Gesundheitsverbände;68407;314;Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2;nein;19;8887400;6;2665000;;
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;Zuweisungen und Zuschüsse (ohne Investitionen);1702;Kinder- und Jugendpolitik;68401;261;Zuschüsse und Leistungen für laufende Zwecke an Länder, Träger und für Aufgaben der freien Jugendhilfe;nein;15;234533;4;224533;;
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;Zuweisungen und Zuschüsse (ohne Investitionen);1702;Kinder- und Jugendpolitik;68402;261;Maßnahmen zur Umsetzung der Qualifizierungsoffensive;nein;17;286713;5;246713;;
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;Zuweisungen und Zuschüsse (ohne Investitionen);1702;Kinder- und Jugendpolitik;68403;265;Zuweisungen an die Stiftung Frühe Hilfen;nein;17;66000;5;51000;;
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;;1703;Stärkung der Zivilgesellschaft, Familien-﻿, Gleichstellungs- und Seniorenpolitik;68422;235;Förderung von Modellprojekten zur Einrichtung von Mehrgenerationenhäusern;nein;44;26450;8;22950;02;Familien-﻿, Gleichstellungs- und Seniorenpolitik
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;;1703;Stärkung der Zivilgesellschaft, Familien-﻿, Gleichstellungs- und Seniorenpolitik;68428;290;Corona-Auszeit für Familien - Familienferienzeiten in und nach der Corona-Pandemie;nein;-;10000;8;0;02;Familien-﻿, Gleichstellungs- und Seniorenpolitik
22;Der Unabhängige Kontrollrat;E;Verwaltungseinnahmen;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;11999;011;Vermischte Einnahmen; ;-;0;5;0;;
22;Der Unabhängige Kontrollrat;E;Übrige Einnahmen;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;-;0;5;0;;
22;Der Unabhängige Kontrollrat;E;Übrige Einnahmen;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;38107;890;Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben; ;-;0;5;0;;
22;Der Unabhängige Kontrollrat;E;Übrige Einnahmen;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;11957;018;Vermischte Einnahmen; ;-;0;5;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;E;Übrige Einnahmen;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;23257;018;Beteiligung an den Versorgungslasten des Bundes; ;-;0;5;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
