einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
04;Bundeskanzlerin und Bundeskanzleramt;A;;0412;Bundeskanzlerin und Bundeskanzleramt;51801;011;Mieten und Pachten;ja;18;3541;4;3541;;
05;Auswärtiges Amt;A;Zuweisungen und Zuschüsse (ohne Investitionen);0502;Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen;68701;282;Hilfe für Deutsche im Ausland und für nicht vertretene Unionsbürgerinnen und Unionsbürger in Drittstaaten;nein;22;50600;4;600;;
06;Bundesministerium des Innern, für Bau und Heimat;A;Zuweisungen und Zuschüsse (ohne Investitionen);0610;Sonstige Bewilligungen;68707;011;Unterstützung der Grenzschutzbehörden der Mittel-und Osteuropäischen Staaten, sowie der polizeilichen Ausbildungs- und Ausstattungshilfe;nein;99;38500;4;6500;;
06;Bundesministerium des Innern, für Bau und Heimat;A;;0628;Bundesamt für Bevölkerungsschutz und Katastrophenhilfe;53201;045;Aufträge und Dienstleistungen im Bereich Informationstechnik;ja;227;7117;6;4117;;
08;Bundesministerium der Finanzen;A;;0813;Zollverwaltung;81201;061;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);ja;52;90854;4;80854;;
10;Bundesministerium für Ernährung und Landwirtschaft;A;Zuweisungen und Zuschüsse (ohne Investitionen);1010;Sonstige Bewilligungen;68701;045;Präventionsmaßnahmen im Ausland zur Vermeidung der Einschleppung der Afrikanischen Schweinepest (ASP) nach Deutschland;nein;-;992;4;0;;
11;Bundesministerium für Arbeit und Soziales;A;;1101;Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen;63211;252;Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung;nein;11;9000000;4;7000000;01;Leistungen der Grundsicherung für Arbeitsuchende
11;Bundesministerium für Arbeit und Soziales;A;;1101;Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen;68112;251;Arbeitslosengeld II;nein;12;26400000;4;20900000;01;Leistungen der Grundsicherung für Arbeitsuchende
11;Bundesministerium für Arbeit und Soziales;A;Zuweisungen und Zuschüsse (ohne Investitionen);1102;Rentenversicherung und Grundsicherung im Alter und bei Erwerbsminderung;63201;282;Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung;nein;17;7900000;6;7700000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1201;Bundesfernstraßen;82111;721;Grunderwerb für Bedarfsplanmaßnahmen (Bundesautobahnen);nein;19;80000;4;80000;01;Bau, Erhaltung und Betrieb der Bundesfernstraßen
14;Bundesministerium der Verteidigung;A;Militärische Beschaffungen, Anlagen usw.;1405;Militärische Beschaffungen;55401;032;Beschaffung von Sanitätsgerät sowie Beschaffung und Erneuerung der Vorräte an Arznei- und Verbandmitteln, Brillen und sonstigem Sanitätsverbrauchsmaterial;nein;50;190000;4;90000;;
14;Bundesministerium der Verteidigung;A;Militärische Beschaffungen, Anlagen usw.;1406;Materialerhaltung der Bundeswehr;55301;032;Erhaltung des Sanitätsgeräts;nein;63;165000;6;115000;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1503;Prävention und Gesundheitsverbände;68403;314;Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus;nein;-;3108000;4;0;;
