einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
4;Bundeskanzlerin und Bundeskanzleramt;A;Sächliche Verwaltungsausgaben;432;Presse- und Informationsamt der Bundesregierung;54203;11;Ressortübergreifende Kommunikation und Koordinierung;nein;33;18560;4;18560;;
4;Bundeskanzlerin und Bundeskanzleramt;A;Sächliche Verwaltungsausgaben;432;Presse- und Informationsamt der Bundesregierung;54601;11;Sonderveranstaltungen: Jubiläen, Gipfel u. Ä.;nein;34;20000;4;20000;;
4;Bundeskanzlerin und Bundeskanzleramt;A;;452;Die Beauftragte der Bundesregierung für Kultur und Medien;68412;187;Projektförderung im Rahmen der deutschen Vereinigung und internationaler sowie nationaler Repräsentation, Milderung und Prävention von pandemiebedingten Notlagen;nein;50;1000000;6;0;1;Allgemeine kulturelle Angelegenheiten
4;Bundeskanzlerin und Bundeskanzleramt;A;Sächliche Verwaltungsausgaben;455;Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR;51802;162;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement;nein;116;11213;11;11213;;
5;Auswärtiges Amt;A;;501;Sicherung von Frieden und Stabilität;68732;29;Humanitäre Hilfsmaßnahmen im Ausland;nein;15;2090000;4;1640000;3;Humanitäre Hilfe und Krisenprävention
5;Auswärtiges Amt;A;;501;Sicherung von Frieden und Stabilität;68734;29;Krisenprävention, Stabilisierung und Friedensförderung;nein;16;401188;4;401188;3;Humanitäre Hilfe und Krisenprävention
5;Auswärtiges Amt;A;;501;Sicherung von Frieden und Stabilität;68738;29;Maßnahmen der internationalen Katastrophenhilfe im Ausland außerhalb der Europäischen Union;nein;17;0;5;0;3;Humanitäre Hilfe und Krisenprävention
5;Auswärtiges Amt;A;Zuweisungen und Zuschüsse (ohne Investitionen);502;Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen;68701;282;Hilfe für Deutsche im Ausland und für nicht vertretene Unionsbürgerinnen und Unionsbürger in Drittstaaten;nein;22;100600;7;50600;;
5;Auswärtiges Amt;A;Zuweisungen und Zuschüsse (ohne Investitionen);502;Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen;89612;29;Kleinstmaßnahmen der Auslandsvertretungen;nein;25;12050;7;6050;1;Bilaterale Zusammenarbeit
5;Auswärtiges Amt;A;;504;Pflege kultureller Beziehungen zum Ausland;68720;24;Leistungen an Deutsche Auslandsschulen gemäß §§ 11 und 12 ASchulG;nein;45;195740;9;155740;2;Förderung des deutschen Schulwesens im Ausland und der internationalen Zusammenarbeit im Schulbereich (Schulfonds)
